rank	site	phase_vs_freeze	decides	lanes_differ	callable_shapes
1	src/ir/integration.ts:7032-7068 makeResolver.resolveFunc (+ :7057/:7066 funcMap/nativeStrHelperHandle name fallback)	post-freeze (Phase 3)	physical funcidx for EVERY IrFuncRef binding kind	fallback arm is lane-implicit by NAME	all: call(:1599 lower), closure.new liftedFunc(:2349), class.*(:2499..2654), intrinsic provider(:436) — 29 resolveFunc sites in lower.ts
2	src/ir/integration.ts:6603-6920 resolveAndObserveCallableProvider (+ preregisterCallableProviders :7441-7490)	post-freeze	provider row → funcidx for runtime/intrinsic refs; 9 raw mode reads (:6643,:6652,:6656,:6667,:6846,:6855,:6885,:6890,:6901) + name terminal :6912	host env import vs native helper vs standalone fn	29 irRuntimeFuncRef + 15 irIntrinsicFuncRef emit sites in from-ast.ts; family-3 symbol: FUNCTION_PROTOTYPE_CALL_HELPER
3	src/ir/integration.ts:6032-6430 makeFromAstResolver: functionPrototypeCallTarget :6125-6129, hostIndirectEvalTarget :6046-6051, jsHostExterns :6331, dynamicCarrierIsExternref :6134, getExternClassInfo :6294	pre-freeze (Phase 1), not via manifest	which IrFuncRef binding (runtime/import/null→demote) from-ast emits	gc-host: import/null; standalone: runtime helper; wasi/strict: null	Function.prototype.call (from-ast:7553), indirect eval (from-ast:6395), every host-extern method call arm
4	src/ir/integration.ts:2014-2035,:2185-2210 + src/codegen/index.ts:2839-2888,:3046-3119 selection/binding option tables; src/ir/calendar-selection-support.ts:27-36; src/ir/legacy-caller-policy.ts:35-44 (select.ts:1516-1525,:7427)	pre-freeze (selection)	jsHostExterns/allowHostExterns/supportsHostIndirectEval/hostVoidCallbacks/importedFunctions; legacy-caller demote policy	allowHostImports profile projection (legality.ts:57)	host-callback arrows (select:9916), imported calls (index:3119/3367), unclaimed legacy callers of IR functions
5	src/ir/from-ast.ts:14489-14496 hostOneShot vs domCallbackAuthority; src/ir/closure-struct-registry.ts:80-115,:183-184; src/codegen/standalone-dom-callback-authority.ts:99-104 (+:56); src/codegen/index.ts:3380,:4448-4451	plan pre-freeze; subtype resolution post-freeze	closure ENV subtype (host one-shot vs certified standalone DOM authority struct)	standalone+nativeStrings+native-first+env none only	host void callbacks (addEventListener arrows)
6	src/codegen/program-abi-fnctor-producer.ts:80,:134,:198-201,:291-295; program-abi-fnctor-planning.ts:99,:138,:192,:348,:351; src/ir/fnctor-abi.ts:67; src/codegen/index.ts:12362-12381; src/codegen/ir-fnctor-admission.ts:49-53	pre-freeze (R1 program-ABI planning)	constructor ABI: hiddenIdentity (=!wasi), resultIsExternref foreign return (standalone/wasi only), IR fnctor admission	gc-host / standalone / wasi all differ	every `new F()` on a function-constructor (fnctor.new lower:1536)
7	src/codegen/index.ts:9894-9897 (mapTsTypeToWasm ..., ctx.fast), :10167 hostImportedFunctions, :3646 conservativeCrossFileCallers	pre-freeze	imported/linked function ABI shape; whether imported-call plans exist on host-free lanes	fast; standalone/wasi/strict	imported callables (irImportFuncRef 7 sites; resolvePreparedImportCallable :6959)
8	src/codegen/closure-exports.ts:1268-1290 hostCallableFallbackTerminal, :871-872/:1437-1438; src/codegen/expressions/calls.ts:4436,:4525-4541,:4623-4656,:4729,:4854; src/codegen/expressions/host-call-fallback.ts:19-30; callback-ctor-bridge.ts:52-62; closures.ts:4523; closures/callback-classification.ts:310,:350,:400; analysis/host-callable-initializer.ts:82	post-freeze emission (legacy + closure-export substrate used by IR-claimed callers)	host callback import NAME/ABI (__call_function_N / __call_function / __boundary_callback_call_N; __make_callback[_ctor]) vs native __apply_closure/__call_fn_N	gc-host imports; native-first boundary_ names; standalone/wasi none	dynamic calls of unknown callables, closure-call exports, arrow-as-host-callback classification
9	src/codegen/expressions/call-tail-dispatch.ts:1762; src/codegen/bound-fn-meta.ts:102,:105,:233-234; src/codegen/construct-bound.ts:263; calls.ts:2614-2645 calleeMayBeHostCallable	post-freeze emission (legacy)	bound function = host bound fn (externref) vs native closure struct; bound length/name seeding	!standalone&&!noJsHost host; else native	.bind()/bound calls/new on bound
10	src/codegen/expressions/late-imports.ts:400 ensureLateImport (:449,:494,:100,:140); src/codegen/registry/imports.ts:51-67 addImport, :207, :2284 addGeneratorImports, :2357	post-freeze, emission-time	whether a host callable import exists at all (drop/refuse/reroute native)	strictNoHostImports/standalone/wasi	every late host import incl. all of rank 8/9 names
11	legacy call lowering: calls.ts compileCallExpression (14 reads :7391-:9443), call-identifier.ts compileIdentifierCall (28 reads), call-receiver-method.ts compileReceiverMethodCall (40 reads), calls-closures.ts (10), call-tail-dispatch.ts (6) + 32 noJsHost() calls (js-errors.ts:29)	post-freeze emission (legacy)	per-callsite host-vs-native dispatch	standalone/wasi/nativeStrings/native-first	the demote target of every unclaimed call
